Review ID,Review Date,Review Content,Listing Title,Neighbourhood,City,State,Country,Room Type,Room Price,Room Availability
12792771,2013-08-22,"Usman is a great host, the apartment is as described ! Location is perfect ! Everything you need is around, best neighbourhood !Definitely recommend it !  ",Massive Apartment in West Village,West Village,New York City,New York,United States,Entire home/apt,600,334
2977581,2013-06-16,Lovely apartment in a great location for exploring the city.  It was perfect for our group of 5 to comfortably spend time together when we were all in at the same time.  Jan and the staff at the Kobalt Cafe on the ground level were so helpful in our stay.  Loved Amsterdam & had a wonderful stay! Thank you!,★ Inner City Centre Loft #4,Centrum-West,Amsterdam,North Holland,The Netherlands,Entire home/apt,275,243
32482805,2014-06-17,A nice and inviting explanatory letter and quick answers to email questions. Neighborhood seemed fine although the yard was a bit overgrown. The apartment was very clean.,Bright loft-like 1 BR-pets ok! Pkg,Lincoln Square,Chicago,Illinois,United States,Entire home/apt,175,357
7568387,2013-02-01,"Kristina and Ekaterine were lovley hosts. They are conveniently located near Hollywood blvd and sunset blvd. Their place is nice and cosy and both ladies made me feel right at home, a very nice welcoming place to stay as you get off the plane in a new country. ",Hollywood Furnished Private Bedroom,Hollywood,Los Angeles,California,United States,Private room,99,244
9329281,2013-12-03,"This is not our first time to NYC, but this is the first time using AirBnb here. When staying at most hotels in Midtown, you have to expect high prices for ""Holiday Inn"" quality small rooms, despite the hotels rated as 4 or 5 stars. Everything seems old here.Not here. The owner has good taste. The unit is modern and updated. Small but larger than most hotel rooms. We loved the kitchen granite counters, modern kitchen stove, plush rugs, and modern couch. Plus, we get a 1 bedroom unit so that we can let our baby sleep in one room while we get to enjoy watching TV on the large 50-60"" TV in the living room. Surprisingly, there is another huge TV in the bedroom as well which we never used. All ""high definition,"" of course.The owner is very professional and courteous. He answered all of our questions and accommodated all of our needs. When I inquired about a baby crib, he responded by ordering one for us immediately. Also, when we arrived at the unit, he told us that he ordered a high chair for another client but we are welcomed to use it as well. I never used the high chair but it is telling how willing he is to help out. The owner met us in person in the unit and explained rules of the unit. My wife and I felt very comfortable with him. We also noticed that he had fresh red roses on the coffee table for us. Nice touch and good taste!Location is perfect in Midtown with a few minute walk to most train stations, Times Square, and Rockefeller Center. Area is safe!!! We have no worries of our safety or security in the building or surrounding area. Neighbors are quiet and overall seem genuinely nice. We have a view of the street which is not saying much since you are surrounded by other tall building. To be expected and not big deal deal since we are going out to enjoy the town. In the morning while sleeping, we do hear car and street noises. Again to be expected in Midtown. Our baby didn't mind even during her daytime naps!We enjoyed our stay in NYC using this Airbnb unit more than a typical hotel room. It met all of our needs and more so. The owner was great and made this stay a very memorable experience. Thank you.",FANTASTIC TIMES SQUARE ONE BEDROOM,Theater District,New York City,New York,United States,Entire home/apt,260,291
13983366,2013-02-25,Angie has always been very courteous and pleasent. The studio was very comfortable and clean. We just had one time a problem to enter the buildung but after a short call with angie everything turned out fine.A big pro: 24h usage of the outdoor-whirlpool :)Thumbs up - thank you!,30 Day Rental Starting Nov 2015,Downtown/Civic Center,San Francisco,California,United States,Entire home/apt,175,313
38360407,2013-12-31,Nice contact. Very friendly and supportive. The appartement was as described on the website. Small but definitely ok to stay there. ,Curved wall Studio ST4 with Kitchen,Tower Hamlets,London,England,United Kingdom,Entire home/apt,85,344
10761193,2014-06-11,"Greg & Betty are a lovely couple & couldn't of been any more accommodating. Very knowledgeable of the rich culture of New Orleans, offered great suggestions places to see & eat. I would most definitely stay with them again..maybe Jazz Fest 2015..?  ","Private BR, Bath, On Street Parking",Fillmore,New Orleans,Louisiana,United States,Private room,60,360
33973256,2013-03-30,"Pros: Parking inside property. Convenient Location. Mattress was surprisingly comfortable despite looks. Plenty of toilet paper in bathroom. Water pressure in shower was strong, and water hot.Free washer and dryer! Reasonably priced.Free Wifi!Cons:Old house in need of much fixing and a really, really good scrubbing by professional cleaners maybe?Door made explosive sound every time we opened it (probably woke everyone up in building)Large windows facing next door windows, but, alas, no curtains. But that's ok, when we had to get dressed, we turned the lights out, or snuck into the tiny closet.  Privacy is really overrated anyway. Booked for 2, but there was only 1 tiny pillow on bed (no biggie, but you might want to bring your own, and maybe another sheet as there was no top sheet).Bathroom had a very Third World feel to it. You get what you pay for.  If you are looking for cleanliness, comfort and privacy, stay at a Motel 6, ye snobs.",Private room4 historical house,Harvard Heights,Los Angeles,California,United States,Private room,46,357
40294978,2012-09-25,"The room was nice, breakfast was great and John is a great host!",Dupont Private Room Meridian Manor,"Dupont Circle, Connecticut Avenue/K Street",Washington,D.C.,"District of Columbia, United States",Private room,99,361
22750130,2013-03-23,"Romy's room was huge, beautiful and full of character. Her flatmates who greeted us were chill and very helpful. We loved how big the appartment was, and we felt right at home. The location was ideal for us; close to interesting shops, cafes and a minute walk from the U-bahn.",Lively home+good vibes+great F'hain,Frankfurter Allee Nord,Berlin,Berlin,Germany,Private room,30,307
22419996,2014-11-17,Apartment was clean and as described. Bed was clean and towels were laid out. Key pickup was 2 blocks away and a straightforward process. Overall the experience was basically as expected and I don't have any complaints. Cool space with the exposed brick. ,"Charming, Exposed Brick SoHo Loft",Nolita,New York City,New York,United States,Entire home/apt,199,313
13482906,2013-04-23,"The apartment was good, quiet and clean. Everything worked fine. We especially liked the neighborhood. Everything is within a walking distance and the apartment is well located for making day trips outside of Madrid by train. ",Apartamento nuevo Madrid centro,Embajadores,Madrid,Comunidad de Madrid,Spain,Entire home/apt,47,320
37847700,2014-02-02,Wannie was very accommodating and allowed us to put our luggage in the flat earlier than check in. We had a tour scheduled across town. He was also open to all our questions and inquiries. The location was wonderful in consideration of historical landmarks. Situated between 2 Tube Stations. The only problem was the noise level. Every weekday morning the Street Market people start setting up at 6am. And of course you can hear them. Then on the other hand you can hear the noise from the pub next door until about midnight Thur and Fri nights. The house was exactly like stated. We didnt use kitchen so I cant attest to it.  We were not there but to sleep anyway.,Prime location near BigBen Victoria,Westminster,London,England,United Kingdom,Entire home/apt,129,279
20002031,2014-05-22,"Great apartment in a nice area and wonderful hosts. They went out of their way to make us feel welcome and assist us. Apartment beautifully clean, spacious and well equipped",Typical Venetian house on the canal,Cannaregio,Venice,Veneto,Italy,Entire home/apt,130,243
34551311,2014-07-16,Janine's apartment was amazing! we had everything inside. We got clean place and big smile once we arrived.The location is close to public transportation and by walk you can get to the center of Berlin. You can get everything you need in 5 min walk.Janine was responsive and help us with local recommendation which is valuable. We will definitely come back again.,2-room flat | BERLIN-Friedrichshain,Prenzlauer Berg Ost,Berlin,Berlin,Germany,Entire home/apt,67,275
41130306,2012-02-09,I rented the Apartment at Lakeshore Drive via AirBnB. Elizabeth was the host. The apartment was very clean when we moved in. Elizabeth had made sure that instructions were left for us to feel at home in the apartment. She also provided helpful hints on restaurants in the vicinity and things to do around the area.  Elizabeth was always  there to help and she did so willingly. If I come back to the Chicago area I definitely would want to stay in this apartment again.  Thank you Elizabeth for great service. ,Lovely Apt in Lakeview,Lake View,Chicago,Illinois,United States,Private room,110,90
6564112,2014-03-01,"As advertised, this is an artistic one-bedroom ideally situated in the heart of Kolonaki. It is tastefully decorated and comfortable. I encountered a plumbing problem during our stay, and the owner was extremely helpful and responsive. You won't be disappointed!",Artistic hideaway in Kolonaki,ΛΥΚΑΒΗΤΤΟΣ,Athens,Attica,Greece,Entire home/apt,69,358
16153533,2012-06-12,Good location.  Nice house.  Sunny and comfortable ,Guest Room - Javier Azul,Mission,San Francisco,California,United States,Private room,65,335
16958125,2012-06-26,"The appartement is very nice, clean, cosy and charming with one room and another open on the common room. The best is that you are in te heart of Barcelona and it's calm in the alley! The only thing is that it's hot inside, even with the fans provided and the windows face a wall but it's not important as everything else is great! I strongly recommend the place! ",Your Home in the City Center!,el Barri Gòtic,Barcelona,Catalonia,Spain,Entire home/apt,89,323
42823968,2013-04-25,"We stayed at Tim’s and Ellen’s beautiful apartment for 12 nights. The apartment was perfect for our group (4 persons) with more than plenty of space for all of us. The bedrooms are huge with very comfortable beds. The kitchen is fully equipped and very spacious.  The living room is also very spacious with comfortable couches and very well equipped. There is also a great sound system, good air-condition and fast WIFI and a nice private backyard.Tim and Ellen are very welcoming and helpful, always ready to assist and answer questions when we needed. We were looking for the “genuine” Brooklyn experience and the apartment and neighborhood met all of our expectations, and more. We couldn’t be happier with the apartment and our stay. The neighborhood is great with numerous shops and restaurants. The subway is only a 2-3 minute walk away from the apartment and it gets you to downtown Manhattan in about 20 minutes. We highly recommend this place and would definitely stay here again if we were to visit NY again. ",Grand Brownstone Owner's Duplex,Clinton Hill,New York City,New York,United States,Entire home/apt,195,249
43930287,2012-03-31,"Wilson’s apartment is great – one of the nicest I have found on Airbnb.  It’s very  large, with a fully equipped kitchen, washer-dryer, and strong internet connection.  It’s in the middle of Downtown LA and in walking distance to 7th Street metro station, and with lots of bus connections.  Also lots of shops and amenities in the surrounding area.  And the view is amazing.  Highly recommended!",Corner Loft Amazing Views! Downtown,Downtown,Los Angeles,California,United States,Entire home/apt,130,179
35333712,2012-07-27,"Aj is really nice , and kind guy.. It was good to stay at his apartment, the apartment is very clean, feels homie when you stay , ans esp the bed.. The bed is very soft and it would make you want to sleep even more.. ;) ",Modern & Comfy in LA!!!,Mid-Wilshire,Los Angeles,California,United States,Private room,94,254
17253757,2012-04-02,"I had a great experience. Better than I expected. I slept on the sofa, very comfortable. The host stayed at his room most of the time busy working, so there was great privacy for the guest even staying in the living room. I did take the risk that there might be other guest that night, but luckily I was the only one. The apartment and furnitures are nice. The neighborhood is very good and convenient. I would definitely stay again next time I visit NYC.",In the Must-See Center of Manhattan,Midtown,New York City,New York,United States,Shared room,89,151
25696315,2013-12-17,"One of the best Airbnb experiences I've ever had!David and Hadley have a beautiful place, that is super comfortable and quiet. Great little kitchen and I loved the thoughtfulness of having breakfast stuff already there.Will definitely stay here every time I come to SF.",Sunny Bernal Heights Apartment,Bernal Heights,San Francisco,California,United States,Entire home/apt,160,338
4885439,2012-12-14,We had a nice stay. The location is great and there was plenty of room for three people. It's great to have your own entrance and bathroom. Also they were very flexible concerning our check in. ,2 rooms; private entrance & bath!,Bushwick,New York City,New York,United States,Private room,65,271
33573902,2013-03-29,"My friend and I stayed in Paolo's flat in Amsterdam. It was a very pleasant and comfortable stay. Paolo was friendlyand met us upon our arrival and was understanding for our flight delay. Paolo is very easy to communicate with and very organized. He had a book of maps, places to eat, etc. prepared for us which was helpful. The flat was clean and well equipped with kitchen and bathroom essentials. The location was perfect close walking distance to central Amsterdam, canals, good food, grocery stores, etc. I would definitely recommend this place to anyone visiting Amsterdam. ",The true Amsterdam feeling!,Westerpark,Amsterdam,North Holland,The Netherlands,Entire home/apt,104,299
28556649,2012-04-07,"Very convenient location. Host very good with communication prior to check in, during stay to address issues, and after check out. Apartment is clean and well supplied.", ONE BEDROOM + DEN CONDO,Waterfront Communities-The Island,Toronto,Ontario,Canada,Entire home/apt,175,310
33060648,2014-05-02,"This has been our first stay through airbnb, to be frank we were apprehensive however, Lisi had been more than a perfect host. She guided us all through out even before we reached Vienna, took extra care to make us comfortable on arrival and she also provided very helpful tips to go around the city. The place is very cosy and almost like your own home,infact we felt like extending our stay but we had bookings in other cities thus had to leave. The apartment is very well maintained, it's a safe neighbourhood with easy commuting options. It's been a great stay. For my future trip to Vienna Lisi's apartment will always be my first choice. ","30m² studio, charming and fresh !",Hernals,Vienna,Vienna,Austria,Entire home/apt,49,112
38753386,2012-08-30,Brooke is an awesome host. Her home is beautifully designed and all the amenities one could need. I would definitely stay again!,Luxury Designer Condo Pac Heights,Pacific Heights,San Francisco,California,United States,Entire home/apt,525,357
8044495,2012-04-07,It was good if you are flexible.. Its perfect for young travelers!,Nice private room - Upper Manhattan,East Harlem,New York City,New York,United States,Private room,42,345
18369148,2013-11-20,"Mike was great and the place is awesome! It's in a perfect location - just steps from Central Park, really close to a bunch of subway lines so you can get anywhere in the city, and tons of great bars and restaurants in close vicinity. We stayed there a week and would definitely recommend it!","Bright, quiet, cozy 1BR by C Park!",Upper West Side,New York City,New York,United States,Entire home/apt,75,0
26752487,2013-06-09,"It was a pity that we haven't met josh personally, but he was so nice that he relied us immediately even though he was in Asia. His apartment is so nice and comfortable, it takes about 10 mins to the subway station and there are pubs, cafes, supermarkets and restaurant in the neighborhood.",Heart of Xberg between Park & Canal,südliche Luisenstadt,Berlin,Berlin,Germany,Private room,39,334
12058804,2013-06-30,"Our stay here far exceeded our expectations. It was incredible - Elizabeth and Stephen are the most amazing and kindest hosts, their house is gorgeous and their dog is the cutest. You get the top floor to yourself so it's private and then the hot tub is a great bonus! The area in which they live is beautiful and you can walk easily to some amazing restaurants and bars. Elizabeth and Stephen gave us great recommendations of where to eat and what to see. They made our trip even better. Thank you so much, hopefully one day we will be back! ",Comfy & Private 2nd Floor Suite,District 6,Nashville,Tennessee,United States,Private room,120,328
15672814,2013-06-07,"Although our stay was short, it was everything we'd hoped for. The photos and facilities advertised were very accurate and everything was how we expected it. Marcel had a gentleman meet us as soon as we arrived so there was no waiting around, he even helped us with our bags. The condition of the rooms were perfect, clean sheets and bathrooms too. All in all, it was a very pleasant stay.",Canal house Keizersgracht 3rooms 4p,Centrum-West,Amsterdam,North Holland,The Netherlands,Entire home/apt,229,114
25768114,2012-08-01,"Fiona's house is cozy and intimate, full with her life and sense of hospitality.A nook in a marvellous position in Le Marais, perfect for shopping and art gallery area of paris. The house is clean and warm and has the typical parisian attitude. Perfect for a couple in love.",Charming apartment Paris Marais,Temple,Paris,Île-de-France,France,Entire home/apt,120,326
17543666,2012-01-03,"This is a great place to stay, it is a lovely suite in Young Mi and Tim's beautiful house. Everything is immaculate and the attention to detail is fabulous but at the same time the house is warm and welcoming and Young Mi and Tim are terrific hosts who immediately make you feel at home. The dogs are also lovely and equally welcoming! The neighbourhood is really well located for a walk to Fillmore with great cafés, shops and restaurants; all in all this is a lovely place to stay and highly recommended.",Tranquil 2BR Suite w/ Private Bath,Western Addition,San Francisco,California,United States,Private room,240,338
15538938,2013-03-05,"We've got a perfect time in Berlin. Michael's place is ideal, a good host, quiet & beautiful room, well situated...a few tips for vegetarians who have a bike*each thursday veggi meal in an old swimming pool: check (website hidden)*glutenfrei breakfast: Funk You Natural Food. Gärtnerstraße 21, delicious !And if you wanna swim in open air: volkspark Weiser See !",Big Room|Free Bikes&Parking|Wifi&TV,Prenzlauer Berg Ost,Berlin,Berlin,Germany,Private room,40,96
29653585,2012-03-15,"Really nice apartment - all you need for your NY stay. Fantastic location with a lot of restaurants and shops nearby. Only met Katherine when we got the key, but she was very welcoming and keen to help. Highly recommended!",Sunny Renovated Studio On 14 Street,Gramercy,New York City,New York,United States,Entire home/apt,158,204
8043769,2013-08-23,"Clean, pleasant, comfortable beds, quite street, easy parking, plenty of space, walking distance to many restaurants, the sub way and the Brooklyn flea. Easily held a group of 8 with out feeling cramped at all. ",Authentic 4000 sqft  4 bedroom Loft,Clinton Hill,New York City,New York,United States,Entire home/apt,550,337
37896961,2013-05-12,"everything as expected, Roberto went out of his way to make us feel at home. He purchased a new air mattress for our son, tried to make our arrival easy since me came during a tube strike. Lovely people, nice family. the room was clean and airy and the host thought of everything to make the stay comfortable. The tube is a few minutes walk way, this station has an elevator so easy with bags. ",Spacious double w/ own bathroom,Islington,London,England,United Kingdom,Private room,54,128
9614806,2013-11-16,"The apartment was as shown on the pictures. Superb view of brooklyn bridge! The apartment was clean and the bed is very comfy. Erica was an excellent host. She contacted us as soon as the reservation was made and answer back fast with any question we had. She gave us towels and was very accomodating with our plans. The location is ideal since it's close to various metro stations, soho, little italy, chinatown and east village. We will.gladly come.back and stay with her again!",Big room in LES with stunning view,Lower East Side,New York City,New York,United States,Private room,95,27
34209660,2014-12-12,"Bir was a great host... left everything that we needed for our stay, and the apartment was as described. Superb location.",Sweet Apartment in ❤Heart❤ of WeHo!,West Hollywood,Los Angeles,California,United States,Entire home/apt,139,85
30308283,2014-05-04,"Our stay at the Footscray Garden apartment was wonderful! The apartment is very cosy and welcoming, with fantastic amenities. We had everything we needed within walking distance. It was very easy to access the city by train. We highly recommend staying here. ",Footscray Garden Apartment,Maribyrnong,Melbourne,Victoria,Australia,Entire home/apt,85,297
32057274,2013-11-08,The host canceled this reservation 2 days before arrival. This is an automated posting.,City appartement with garden,De Baarsjes - Oud-West,Amsterdam,North Holland,The Netherlands,Entire home/apt,170,52
31743595,2014-08-23,"The host was very nice and welcoming. It was a great first airbnb experience: everything I expected, with a nice host and good accommodations.","Cozy Room Near Airport, Alberta",Cully,Portland,Oregon,United States,Private room,40,359
20942397,2014-07-05,"Great clean and quaint space in a nice, quiet neighborhood. it was my first time in NOLA but I had the best tour guide I could ask for, but our host was more than eager to make sure we were well taken care of and that everything was satisfactory. Very kind and flexible, I'm sure I'll be back to NOLA, and theres a very good chance I'll be staying here again!One detractor is that if you're not in town for a fairgrounds event (Jazzfest, for example) then expect to pay cab fare to get to/from streetcar range. It's a 1.5mi walk to the nearest streetcar stop, so it's not unmanageable. This is nothing against the space or our awesome host; I'm mentioning it so readers know about placement if they've never visited and don't quite know their way around (which I didn't when booking.)Awesome stay, I cannot wait to come back!",JazzFest!Walk 3 blocks to Main Gate,Seventh Ward,New Orleans,Louisiana,United States,Entire home/apt,75,341
44547948,2014-09-22,All was as described.There is a Kaiser's supermarket much closer to the flat which we wish we knew in advance.,New! Elegant Apartment Berlin,Prenzlauer Berg Südwest,Berlin,Berlin,Germany,Entire home/apt,165,296
32530307,2014-08-23,"The location was good, close to the tube station (which was so great - the tube was so easy to use). We had four people and had the pull out couch but it was comfy! You have to go through the bedroom for the bathroom but we were okay with that. It's a good price for everything that is included - washer/dryer, wasn't too loud in the night from the street. Definitely would recommend. ",Luxury Central London Apartment W1,Westminster,London,England,United Kingdom,Entire home/apt,119,14
6091224,2012-04-14,"Tunisia is an awesome hostess.  Her place is well kept, and she even provides some toiletries/water etc.   and she always responded quickly to queries. The unit is in a prime location on a relatively quiet street.  Parking wasn't a problem.  Subway is around the corner, and plenty of good food options.  Minor issue popped up with an appliance and Tunisia offered to refund some of the fee without blinking.  Overall the stay was great, and I definitely would stay here again.",Large 1br Apt. in a great location.,Harlem,New York City,New York,United States,Entire home/apt,120,316
30347981,2014-09-06," Boris is really nice and always available when you need him. He knows the neighborhood very well so if you want to go to good places and restaurants, you just have to ask him.The flat is cosy. There is everything you need. It’s near by Bricklane. It’s 3 minutes by walk. There are buses and the metro near by the flat. That’s really useful, especially if you want to go to the city center.It was a great journey.Thanks Boris ! See you ! ",Walk to Liverpool street/Brick lane,Tower Hamlets,London,England,United Kingdom,Private room,45,327
443786,2012-07-27,"The cottage was just as Debora described. Key was waiting on us, parking permit was easily arranged, street parking was convenient, neighbors were friendly, and location was ideal, convenient to everything we needed. We had one tiny challenge which she addressed immediately and seamlessly even though she was in Europe. I would definitely enjoy staying again.  Thanks, Debora!",Cozy cottage,West Hollywood,Los Angeles,California,United States,Entire home/apt,130,359
40805030,2012-10-11,Kristelle was very kind and super welcoming! I loved the location. Close to noho arts district so everything was in a close vicinity to where I need to be! Super clean place & they were very flexible with my entry time! I would come again next time I'm in LA! I had a super awesome stay!,Great room in NOHO Arts district!,North Hollywood,Los Angeles,California,United States,Private room,57,256
8418373,2012-11-21,Hey ! We spent my sister and I 8 days on Stuart apartment. Stuart has been perfect with us ! The apartment is very nice and very well located ! I recommend this place !,"Modern, Open East Village Space",East Village,New York City,New York,United States,Private room,109,365
950280,2012-10-22,The apartment is in a great location. William is a wonderful host.,AWESOME 2BR UPPER WEST SIDE HOME!!!,Upper West Side,New York City,New York,United States,Entire home/apt,240,171
3532933,2012-06-16,"Santiago was a great host. The apartment is very nice and cozy, with everything you need. It was so much better than the one we rented in Paris. Wish we could stay more... Loved Madrid as well!Thank you, Santiago!","CENTRIC, QUIET, BRIGHT APARTMENT.",Universidad,Madrid,Comunidad de Madrid,Spain,Entire home/apt,75,279
36755565,2013-02-19,Wow what an amazing flat.  I was talking to some other travelers on our way out of Paris who paid three times the price to stay in a hotel nearby Guillaume's place.  Location is unbeatable!  Flat is exactly as shown on pictures- modern with high quality furnishings.  Highly recommended!  A+,MODERN FLAT IN THE HEART OF PARIS,Palais-Bourbon,Paris,Île-de-France,France,Entire home/apt,120,312
8766727,2013-09-27,"Santiago's flat was great - comfortable, well equipped kitchen, warm (it was November !) and close to the metro. I would definitely recommend it.Marcus","CENTRIC, QUIET, BRIGHT APARTMENT.",Universidad,Madrid,Comunidad de Madrid,Spain,Entire home/apt,75,279
35805193,2013-12-01,"She was very welcoming and helpful. Nice flat in the center of everything. Cute restos, beer shops nearby. The apt was clean and perfect for a couple. ",Beautiful and Charming Apartment ,Karl-Marx-Allee-Nord,Berlin,Berlin,Germany,Entire home/apt,60,353
12051403,2013-10-09,"Carl was a great host ! He gave us many tips (guides/maps are at your disposal, tips for renting bikes, in addition to his personal recommendations) – ensuring a great stay in Amsterdam! His home is well located, next to the metro station and at a couple of minutes from the centre by walk ! The apartment is incredibly clean, practical and tastefully decorated! We didn’t want to overstay Carl’s hospitality but you can enjoy breakfast. Carl is a discreet and charming host. We strongly recommend him !",BEAUTIFUL AMSTERDAM CANAL ROOM,Centrum-Oost,Amsterdam,North Holland,The Netherlands,Private room,80,293
7911249,2014-01-17,"I contacted Laurie on a Saturday evening at the last minute to book a room.  She responded within minutes, and the transaction was complete. Her home is located in a lovely residential area of Venice that’s within striking distance to all the city has to offer.  Her home is open and airy, clean, neat and organized.  I had a great night’s sleep on the sleigh bed and awakened to a quiet Sunday morning.Laurie was a most gracious hostess and I would highly recommend her home to all travelers.  ",CUTE~Cozy Venice Cottage!~close2LAX,Venice,Los Angeles,California,United States,Private room,100,335
45154003,2012-03-27,"Moran was very helpful with the information about Berlin and the house. He was very kind in offering free things like tea, coffee and other refreshments.",Altbau Wohnung in Mitte,Tiergarten Süd,Berlin,Berlin,Germany,Entire home/apt,60,47
7771648,2014-12-09,"Spacious, clean, self contained bnb and excellent location! Mitch was a great, friendly host accommodating us at his place. He explained all details of the facilities in his house like the washing machine, dish washer, stoves upon our arrival. His home was well equipped with the cooking seasoning, pots and pans which we could use. Not forgetting the PS3 and xbox that we available for us to play at night after all the shops has closed at night. There was free parking in the gated garage for us to park our rented car (handful of car rental companies along the main road from where Mitch home was) Location wise, we were 5 min walk from the king cross station and the coles supermarket. Darling harbor, Sydney opera house and the main shopping areas were within 15min walk away. Despite being in the king cross area, we felt safe walking on the streets at night. Highly recommending Mitch place to everyone! ",Stylish 2bdr CBD Apt + Parking ,Sydney,Sydney,New South Wales,Australia,Entire home/apt,219,36
